Group,Variable,N,Mean,SD,P10,P25,Median,P75,P90
Full,Lev,37238,0.4027889002178909,0.19487445670941367,0.14535757678132658,0.24453283432943393,0.39556932824614377,0.5480247315211138,0.6695541825108808
Full,NPR,37238,0.037933825093856496,0.058019182672017604,-0.011843254641432816,0.014059039477241374,0.037374624399238596,0.06673600848420418,0.09981705240773386
Full,Size,37238,22.281168569726788,1.3401585979018886,20.78646119533711,21.332319845114533,22.059834497520463,23.012240109559706,24.06845891351543
Full,Tang,37238,0.2051408736164083,0.1510540014114614,0.03470728500655573,0.0877598942736224,0.17439301656676048,0.29003997999503833,0.4207549136588378
Full,Growth,37238,0.14169870297380746,0.27992076306276087,-0.058210367990876324,0.00713620475011885,0.0788116678292935,0.1868288013352658,0.3828204736190352
Full,NDTS,37238,0.025138858366548715,0.01560299817004208,0.0078116990054513105,0.01349306471029265,0.02230564654950105,0.033716265274996625,0.04607686988249457
SOE,Lev,12304,0.4814210818310424,0.19268558999362828,0.21269342099689426,0.33489761238843363,0.48979661298209015,0.6311511147832154,0.7370235554848115
SOE,NPR,12304,0.033001369734419084,0.047573699138947725,-0.002327527794443538,0.0114740064114267,0.030134128673328653,0.054758090195689876,0.08589952863977154
SOE,Size,12304,23.040984206432256,1.478924547349296,21.287694599119654,21.96095709016262,22.88307660916121,23.91262850802392,24.96298404241481
SOE,Tang,12304,0.23630605355669063,0.18483024949506066,0.02818053090037406,0.08274820736138112,0.19082929023962442,0.3586636595222601,0.524410769124818
SOE,Growth,12304,0.1083139278355122,0.23883683285484975,-0.05692441405738219,0.0010454023962553,0.0636672376033655,0.14937628316770768,0.2836406681702688
SOE,NDTS,12304,0.02618374761104156,0.01678592736053329,0.00674511731379404,0.013118835686013675,0.0234333182085644,0.036182901179475924,0.048804792933471904
Non-SOE,Lev,24934,0.363986848298094,0.18395461602665286,0.12844279427287955,0.21313316860036174,0.3510626127841482,0.49717112673146713,0.6181951310025875
Non-SOE,NPR,24934,0.04036780803853115,0.06239135853061709,-0.017475926784024518,0.015756051765049524,0.0419521925569507,0.07215147563627212,0.1057563340258115
Non-SOE,Size,24934,21.906227862498746,1.0851647764184476,20.662089785154414,21.15307124513741,21.766431070209855,22.52719154027102,23.31796750275907
Non-SOE,Tang,24934,0.18976201847943733,0.1284692336773945,0.0387998150061095,0.08998156474167997,0.1686485700501875,0.26872775577783614,0.36823089064205217
Non-SOE,Growth,24934,0.1581728456425162,0.2967387771112502,-0.05893978089880267,0.01074382168794565,0.08691049737727741,0.20901598479842673,0.4333272561424328
Non-SOE,NDTS,24934,0.024623244455253296,0.014958375904303359,0.00828960256880082,0.013607900141456526,0.0218548549061614,0.032584864479011946,0.04431764142971656
