model,variable,coef,std_err,t_value,p_value,stars,n_obs,n_firms,r2_within,vcov,notes
M1_TWFE,npr,-0.618,0.054,-11.41,0.000,***,37055,4513,0.187,two-way cluster (stkcd,year),
M1_TWFE,size,0.081,0.004,18.72,0.000,***,37055,4513,0.187,two-way cluster (stkcd,year),
M1_TWFE,tang,0.080,0.019,4.23,0.001,***,37055,4513,0.187,two-way cluster (stkcd,year),
M1_TWFE,growth,0.032,0.011,2.96,0.010,**,,37055,4513,0.187,two-way cluster (stkcd,year),
M1_TWFE,ndts,0.563,0.178,3.17,0.007,***,,37055,4513,0.187,two-way cluster (stkcd,year),
M1p_IFE,npr,-0.392,0.009,-43.09,0.000,***,37055,4330,,robust,regife with 2 factors; non-converged (tolerance 1.6e-07)
M1p_IFE,m2_growth,-0.0002,0.0002,-1.04,0.297,,,37055,4330,,robust,,not significant
M1p_IFE,size,0.103,0.002,44.20,0.000,***,,37055,4330,,robust,,
M1p_IFE,tang,0.075,0.009,8.68,0.000,***,,37055,4330,,robust,,
M1p_IFE,growth,0.012,0.002,7.97,0.000,***,,37055,4330,,robust,,
M1p_IFE,ndts,-0.028,0.082,-0.34,0.731,,,37055,4330,,robust,,
M2a_SOE,npr,-0.836,0.067,-12.54,0.000,***,12251,1165,0.208,two-way cluster (stkcd,year),
M2a_SOE,size,0.074,0.007,10.30,0.000,***,,12251,1165,0.208,two-way cluster (stkcd,year),
M2a_SOE,tang,0.016,0.032,0.50,0.624,,,12251,1165,0.208,two-way cluster (stkcd,year),
M2a_SOE,growth,0.027,0.011,2.39,0.031,**,,12251,1165,0.208,two-way cluster (stkcd,year),
M2a_SOE,ndts,-0.580,0.319,-1.82,0.090,*,,12251,1165,0.208,two-way cluster (stkcd,year),
M2b_NonSOE,npr,-0.513,0.041,-12.36,0.000,***,24767,3378,0.164,two-way cluster (stkcd,year),
M2b_NonSOE,size,0.074,0.005,14.10,0.000,***,,24767,3378,0.164,two-way cluster (stkcd,year),
M2b_NonSOE,tang,0.119,0.024,4.89,0.000,***,,24767,3378,0.164,two-way cluster (stkcd,year),
M2b_NonSOE,growth,0.039,0.011,3.68,0.002,***,,24767,3378,0.164,two-way cluster (stkcd,year),
M2b_NonSOE,ndts,0.887,0.194,4.57,0.000,***,,24767,3378,0.164,two-way cluster (stkcd,year),
M3_Interaction,npr,-0.568,0.053,-10.82,0.000,***,37055,4330,0.190,two-way cluster (stkcd,year),baseline NPR effect (Non-SOE)
M3_Interaction,npr_x_soe,-0.214,0.050,-4.32,0.001,***,,37055,4330,0.190,two-way cluster (stkcd,year),NPR×SOE interaction
M3_Interaction,soe,0.033,0.009,3.75,0.002,***,,37055,4330,0.190,two-way cluster (stkcd,year),absorbed by FE but captured via interaction
M3_Interaction,size,0.081,0.004,19.04,0.000,***,,37055,4330,0.190,two-way cluster (stkcd,year),
M3_Interaction,tang,0.080,0.019,4.29,0.001,***,,37055,4330,0.190,two-way cluster (stkcd,year),
M3_Interaction,growth,0.032,0.011,2.97,0.010,**,,37055,4330,0.190,two-way cluster (stkcd,year),
M3_Interaction,ndts,0.591,0.177,3.33,0.005,***,,37055,4330,0.190,two-way cluster (stkcd,year),
M3_Interaction,npr_soe_combined,-0.782,0.050,-15.64,0.000,***,,,,,(=npr + npr_x_soe, SOE effect)
M4_Base,npr,-0.634,0.055,-11.52,0.000,***,37055,,,two-way cluster (stkcd,year),base year=2011
M4_2012,npr_year,0.103,0.044,2.34,0.019,**,,,,,,relative to base year
M4_2013,npr_year,-0.112,0.029,-3.86,0.000,***,,,,,,relative to base year
M4_2014,npr_year,-0.002,0.047,-0.04,0.968,,,37055,,,,relative to base year
M4_2015,npr_year,0.094,0.059,1.59,0.112,,,37055,,,,relative to base year
M4_2016,npr_year,0.164,0.082,2.00,0.046,**,,37055,,,,relative to base year
M4_2017,npr_year,0.153,0.107,1.43,0.153,,,37055,,,,relative to base year
M4_2018,npr_year,0.252,0.085,2.96,0.003,***,,37055,,,,relative to base year
M4_2019,npr_year,0.186,0.086,2.16,0.031,**,,37055,,,,relative to base year
M4_2020,npr_year,0.177,0.095,1.86,0.063,*,,37055,,,,relative to base year
M4_2021,npr_year,0.028,0.100,0.28,0.779,,,37055,,,,relative to base year
M4_2022,npr_year,-0.016,0.095,-0.17,0.865,,,37055,,,,relative to base year
M4_2023,npr_year,-0.254,0.089,-2.85,0.004,***,,37055,,,,relative to base year
M4_2024,npr_year,-0.319,0.075,-4.25,0.000,***,,37055,,,,relative to base year
M4_2025,npr_year,-0.239,0.073,-3.27,0.001,***,,37055,,,,relative to base year
M4_Base_coefs,size,0.085,0.004,,,***,37055,,,,,
M4_Base_coefs,tang,0.077,0.019,,,***,,,,,,
M4_Base_coefs,growth,0.030,0.010,,,**,,,,,,
M4_Base_coefs,ndts,0.497,0.173,,,***,,,,,,
M5_SizeFunc,npr,-30.289,5.004,-6.05,0.000,***,37055,,,two-way cluster (stkcd,year),
M5_SizeFunc,npr_size,2.699,0.445,6.07,0.000,***,,,,,,NPR×Size interaction
M5_SizeFunc,npr_size2,-0.061,0.010,-6.10,0.000,***,,,,,,NPR×Size² interaction
M5_SizeFunc,size,0.084,0.005,,,,,,,,,
M5_SizeFunc,tang,0.081,0.019,,,,,,,,,
M5_SizeFunc,growth,0.031,0.011,,,,,,,,,
M5_SizeFunc,ndts,0.562,0.175,,,,,,,,,
M5_SizeFunc,beta_zero_at,22.12,,,,,,,computed: -b1/(2*b2) = 30.289/(2*0.061) ≈ 22.12
M6_Threshold,gamma,23.360,0.840,11.39,0.000,***,7590,506,0.104,bootstrap 300,threshold on Size; quantile≈0.64
M6_Threshold,npr_low,-0.666,0.075,-8.83,0.000,***,,,,Size ≤ gamma
M6_Threshold,npr_high,-1.028,0.097,-10.59,0.000,***,,,,Size > gamma
M6_Threshold,size,0.096,0.008,11.39,0.000,***,,,,,
M6_Threshold,tang,0.064,0.040,1.58,0.114,,,,,,,
M6_Threshold,growth,0.028,0.010,2.83,0.005,***,,,,,,
M6_Threshold,ndts,-0.154,0.379,-0.41,0.685,,,,,,,
M6_Threshold,obs_below,4857,,,,,,size below threshold
M6_Threshold,obs_above,2733,,,,,,size above threshold
